id_chave_cliente,num_cpfcnpj,num_cpfcnpj14,des_nome_cliente_razao_social,cod_hierarquia_gq_segmento,des_segmentacao,cod_hierarquia_plataforma,cod_hierarquia_gerente,cod_hierarquia_regiao,num_agencia,num_conta,num_conta_dac,des_cpfcnpj_status,des_cpfcnpj14_status,des_conta_status,cliente_desde,anomesdia,filial
d69d3be2-0001-4c67-b013-fd826869ff84,28,28000129,EMPRESA 28 NOVO NOME,D,BUSINESS,750,51,12,186,7399,5,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ENCERRADA,19940701,20241030,0001
d69d3be2-0002-4c67-b013-fd826869ff84,28,28000229,EMPRESA 28 EMPRESA 2,D,BUSINESS,750,51,12,186,7399,5,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,19940701,20241030,0001
b37e3a9d-dcb5-0003-84b5-b91a2b6d9e5d,34,34000391,EMPRESA 34,B,RETAIL,740,53,15,182,7402,7,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20010715,20241030,0003
b37e3a9d-dcb5-0002-84b5-b91a2b6d9e5d,34,34000291,EMPRESA 34,B,RETAIL,740,53,15,182,7402,7,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20010715,20241030,0002
b37e3a9d-dcb5-0001-84b5-b91a2b6d9e5d,34,34000191,EMPRESA 34,B,RETAIL,740,53,15,182,7402,7,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20010715,20241030,0001
b37e3a9d-dcb5-0004-84b5-b91a2b6d9e5d,34,34000491,EMPRESA 34,B,RETAIL,740,53,15,182,7402,7,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20010715,20241030,0004
f29a1e21-8ab1-4e78-8c6c-e6dfb5c5d7f6,45,45000154,EMPRESA 45 NOVO NOME,C,CORPORATE,741,55,19,188,7414,3,CNPJ9 INATIVO,CNPJ14 INATIVO,CONTA ENCERRADA,20050601,20241030,0001
c9b0a6a1-7c42-4e54-83d3-2e07e0e3a8ab,50,50000118,EMPRESA 50,A,PRIVATE,742,58,23,183,7427,4,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20130310,20241030,0001
d3a2bcde-f2c6-4937-90f7-5a0f3063f4b9,60,60000172,EMPRESA 60,D,BUSINESS,743,60,28,187,7439,6,CNPJ9 INATIVO,CNPJ14 ATIVO,CONTA ATIVA,19991123,20241030,0001
e7c1b23a-8d67-4e76-aed6-4c7f4175c3c4,75,75000189,EMPRESA 75,B,RETAIL,744,62,32,184,7441,8,CNPJ9 ATIVO,CNPJ14 INATIVO,CONTA BLOQUEADA,20160505,20241030,0001
a8d9f2e4-3b54-4f89-a2cb-74b8d5b7e6d5,82,82000751,EMPRESA 82,C,CORPORATE,745,65,35,180,7452,1,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20200318,20241030,0001
f3b5c2d9-7c3a-46d4-9382-f0b6e1d4f3d0,110,11000946,EMPRESA 110,B,BUSINESS,748,72,49,181,7483,3,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20220822,20241030,0001
d69d3be2-0001-4c67-b013-fd826869ff84,28,28000129,EMPRESA 28,D,BUSINESS,738,51,12,186,7399,5,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,19940701,20241020,0001
b37e3a9d-dcb5-0001-84b5-b91a2b6d9e5d,34,34000191,EMPRESA 34,B,RETAIL,740,53,15,182,7402,7,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20010715,20241020,0001
f29a1e21-8ab1-4e78-8c6c-e6dfb5c5d7f6,45,45000354,EMPRESA 45,C,CORPORATE,741,55,19,188,7414,3,CNPJ9 INATIVO,CNPJ14 INATIVO,CONTA ENCERRADA,20050601,20241020,0001
a8d9f2e4-3b54-4f89-a2cb-74b8d5b7e6d5,82,82000751,EMPRESA 82,C,CORPORATE,745,65,35,180,7452,1,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20200318,20241020,0001
b0c7d6ef-1f67-4e21-b2a7-c9c5f2e1d9a9,92,92000813,EMPRESA 92,A,PRIVATE,746,68,40,185,7466,9,CNPJ9 INATIVO,CNPJ14 INATIVO,CONTA ENCERRADA,20181030,20241020,0001
d1a4f2bd-6a8e-43b1-807e-91b5d2c3d8f3,105,10500092,EMPRESA 105,D,BUSINESS,747,70,45,189,7478,2,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20210711,20241020,0001
f3b5c2d9-7c3a-46d4-9382-f0b6e1d4f3d0,110,11000946,EMPRESA 110,B,RETAIL,748,72,49,181,7483,3,CNPJ9 ATIVO,CNPJ14 ATIVO,CONTA ATIVA,20220822,20241020,0001
